frecuencia_hz,vin_rms,vout_rms,delay_us
400,3.46,0.0963,620
600,3.28,0.147,420
800,3.54,0.176,320
1000,3.55,0.222,264
2000,3.58,0.482,136
4000,3.59,1.430,80
5000,3.59,2.48,75
5080,3.61,2.62,76
5200,3.2,2.76,77
5400,3.59,3.05,77.2
5500,3.59,3.18,77
5600,3.59,3.3,78.4
5700,3.59,3.41,79.6
5800,3.59,3.48,80
5900,3.49,3.53,80
6000,3.59,3.56,81.6
6100,3.57,3.56,82.4
6200,3.58,3.5,83.2
6300,3.58,3.46,83.2
6400,3.58,3.38,85.2
6500,3.59,3.3,86
6600,3.59,3.21,86.4
6700,3.59,3.10,87.6
7000,3.58,2.78,86.8
7080,3.77,2.69,86.8
8000,3.59,1.95,82
10000,3.58,1.18,69.6
30000,3.57,0.277,24.2
55000,3.57,0.147,13.5
60000,3.57,0.134,12.4
65000,3.56,0.125,11.5
