freq,mag
60,-48.63265024
64.33603332,-48.05375416
68.98541972,-47.40794978
73.97080437,-46.84004598
79.31646891,-46.22446095
85.04844978,-45.62769691
91.19466498,-45.01224173
97.78505008,-44.4135059
104.851704,-43.74238637
112.4290454,-43.16667907
120.5539802,-42.55197788
129.2660814,-41.96001323
138.607782,-41.34876648
148.6245814,-40.80189057
159.365267,-40.18110051
170.8821521,-39.55271533
183.2313305,-38.95463956
196.4729498,-38.35497719
210.6715041,-37.75224704
225.8961484,-37.14564271
242.2210355,-36.54081341
259.7256769,-35.93099325
278.49533,-35.31528717
298.6214139,-34.71136362
320.2019539,-34.10099892
343.3420596,-33.4858227
368.1544364,-32.8799625
394.7599348,-32.27587886
423.2881386,-31.66203701
453.8779965,-31.05087914
486.6784985,-30.43814353
521.8494016,-29.82236989
559.5620081,-29.21092687
600,-28.59146412
643.3603332,-27.97607228
689.8541972,-27.35488519
739.7080437,-26.73115102
793.1646891,-26.1076669
850.4844978,-25.48116156
911.9466498,-24.85131955
977.8505008,-24.21833195
1048.51704,-23.57926853
1124.290454,-22.93731214
1205.539802,-22.28755004
1292.660814,-21.63193617
1386.07782,-20.968765
1486.245814,-20.29607331
1593.65267,-19.61336898
1708.821521,-18.91814096
1832.313305,-18.20911426
1964.729498,-17.48330884
2106.715041,-16.73689268
2258.961484,-15.96717256
2422.210355,-15.16988895
2597.256769,-14.34047501
2784.9533,-13.47148651
2986.214139,-12.55667675
3202.019539,-11.58511777
3433.420596,-10.54499902
3681.544364,-9.421698617
3947.599348,-8.192683601
4232.881386,-6.868468947
4538.779965,-5.392807567
4866.784985,-3.789351821
5218.494016,-2.134700511
5595.620081,-0.6745214274
6000,-0.0008748178736
6433.603332,-0.4586798741
6898.541972,-1.784626654
7397.080437,-3.420914912
7931.646891,-5.065573056
8504.844978,-6.55116159
9119.466498,-7.920798475
9778.505008,-9.168290158
10485.1704,-10.31681751
11242.90454,-11.35487714
12055.39802,-12.33971087
12926.60814,-13.26501393
13860.7782,-14.142394
14862.45814,-14.97974171
15936.5267,-15.78236344
17088.21521,-16.55605153
18323.13305,-17.306953
19647.29498,-18.03792758
21067.15041,-18.74736561
22589.61484,-19.44126378
24222.10355,-20.12414099
25972.56769,-20.79568962
27849.533,-21.45967229
29862.14139,-22.119263
32020.19539,-22.76357178
34334.20596,-23.40325109
36815.44364,-24.03933905
39475.99348,-24.67438171
42328.81386,-25.29846585
45387.79965,-25.92054902
48667.84985,-26.54378344
52184.94016,-27.15827598
55956.20081,-27.76870493
60000,-28.38573876
