Freq.	V(vo)/V(Vi)
1.00000000000000e+002	(-4.40033564045647e+001dB,-9.03743928470207e+001°)
1.00230523807790e+002	(-4.39833460890299e+001dB,-9.03751965322848e+001°)
1.00461579027840e+002	(-4.39633357258606e+001dB,-9.03760022108794e+001°)
1.00693166885180e+002	(-4.39433253146826e+001dB,-9.03768098871078e+001°)
1.00925288607668e+002	(-4.39233148555836e+001dB,-9.03776195652728e+001°)
1.01157945425990e+002	(-4.39033043481100e+001dB,-9.03784312497020e+001°)
1.01391138573668e+002	(-4.38832937920390e+001dB,-9.03792449447288e+001°)
1.01624869287070e+002	(-4.38632831873008e+001dB,-9.03800606546893e+001°)
1.01859138805412e+002	(-4.38432725335161e+001dB,-9.03808783839456e+001°)
1.02093948370768e+002	(-4.38232618306902e+001dB,-9.03816981368518e+001°)
1.02329299228075e+002	(-4.38032510784417e+001dB,-9.03825199177904e+001°)
1.02565192625141e+002	(-4.37832402764653e+001dB,-9.03833437311496e+001°)
1.02801629812647e+002	(-4.37632294245317e+001dB,-9.03841695813321e+001°)
1.03038612044162e+002	(-4.37432185225648e+001dB,-9.03849974727373e+001°)
1.03276140576140e+002	(-4.37232075701792e+001dB,-9.03858274097896e+001°)
1.03514216667934e+002	(-4.37031965673737e+001dB,-9.03866593969140e+001°)
1.03752841581801e+002	(-4.36831855136834e+001dB,-9.03874934385595e+001°)
1.03992016582906e+002	(-4.36631744088737e+001dB,-9.03883295391798e+001°)
1.04231742939330e+002	(-4.36431632528633e+001dB,-9.03891677032348e+001°)
1.04472021922080e+002	(-4.36231520454926e+001dB,-9.03900079351941e+001°)
1.04712854805090e+002	(-4.36031407862150e+001dB,-9.03908502395584e+001°)
1.04954242865232e+002	(-4.35831294748689e+001dB,-9.03916946208229e+001°)
1.05196187382322e+002	(-4.35631181113683e+001dB,-9.03925410834891e+001°)
1.05438689639126e+002	(-4.35431066953180e+001dB,-9.03933896320835e+001°)
1.05681750921366e+002	(-4.35230952267070e+001dB,-9.03942402711285e+001°)
1.05925372517729e+002	(-4.35030837049833e+001dB,-9.03950930051806e+001°)
1.06169555719872e+002	(-4.34830721301339e+001dB,-9.03959478387842e+001°)
1.06414301822431e+002	(-4.34630605019131e+001dB,-9.03968047765031e+001°)
1.06659612123026e+002	(-4.34430488199970e+001dB,-9.03976638229205e+001°)
1.06905487922266e+002	(-4.34230370839062e+001dB,-9.03985249826326e+001°)
1.07151930523760e+002	(-4.34030252938545e+001dB,-9.03993882602188e+001°)
1.07398941234124e+002	(-4.33830134492060e+001dB,-9.04002536603094e+001°)
1.07646521362983e+002	(-4.33630015500178e+001dB,-9.04011211875125e+001°)
1.07894672222983e+002	(-4.33429895958831e+001dB,-9.04019908464677e+001°)
1.08143395129794e+002	(-4.33229775865482e+001dB,-9.04028626418245e+001°)
1.08392691402120e+002	(-4.33029655214497e+001dB,-9.04037365782511e+001°)
1.08642562361706e+002	(-4.32829534010257e+001dB,-9.04046126603863e+001°)
1.08893009333343e+002	(-4.32629412244020e+001dB,-9.04054908929385e+001°)
1.09144033644875e+002	(-4.32429289916285e+001dB,-9.04063712805866e+001°)
1.09395636627209e+002	(-4.32229167024458e+001dB,-9.04072538280335e+001°)
1.09647819614318e+002	(-4.32029043562844e+001dB,-9.04081385400090e+001°)
1.09900583943252e+002	(-4.31828919533450e+001dB,-9.04090254212213e+001°)
1.10153930954141e+002	(-4.31628794931332e+001dB,-9.04099144764172e+001°)
1.10407861990207e+002	(-4.31428669753072e+001dB,-9.04108057103530e+001°)
1.10662378397766e+002	(-4.31228543996013e+001dB,-9.04116991277912e+001°)
1.10917481526240e+002	(-4.31028417658258e+001dB,-9.04125947335036e+001°)
1.11173172728159e+002	(-4.30828290737898e+001dB,-9.04134925322732e+001°)
1.11429453359173e+002	(-4.30628163231465e+001dB,-9.04143925288994e+001°)
1.11686324778056e+002	(-4.30428035137799e+001dB,-9.04152947281868e+001°)
1.11943788346715e+002	(-4.30227906450321e+001dB,-9.04161991349769e+001°)
1.12201845430196e+002	(-4.30027777169388e+001dB,-9.04171057540877e+001°)
1.12460497396692e+002	(-4.29827647292254e+001dB,-9.04180145903662e+001°)
1.12719745617551e+002	(-4.29627516813077e+001dB,-9.04189256486842e+001°)
1.12979591467279e+002	(-4.29427385733717e+001dB,-9.04198389338916e+001°)
1.13240036323555e+002	(-4.29227254048305e+001dB,-9.04207544508838e+001°)
1.13501081567231e+002	(-4.29027121756361e+001dB,-9.04216722045464e+001°)
1.13762728582343e+002	(-4.28826988850449e+001dB,-9.04225921998053e+001°)
1.14024978756117e+002	(-4.28626855333147e+001dB,-9.04235144415567e+001°)
1.14287833478977e+002	(-4.28426721198536e+001dB,-9.04244389347437e+001°)
1.14551294144553e+002	(-4.28226586443768e+001dB,-9.04253656843105e+001°)
1.14815362149688e+002	(-4.28026451068298e+001dB,-9.04262946952011e+001°)
1.15080038894443e+002	(-4.27826315066166e+001dB,-9.04272259723982e+001°)
1.15345325782109e+002	(-4.27626178437572e+001dB,-9.04281595208678e+001°)
1.15611224219209e+002	(-4.27426041176530e+001dB,-9.04290953456159e+001°)
1.15877735615512e+002	(-4.27225903282440e+001dB,-9.04300334516367e+001°)
1.16144861384034e+002	(-4.27025764752375e+001dB,-9.04309738439468e+001°)
1.16412602941049e+002	(-4.26825625581853e+001dB,-9.04319165275850e+001°)
1.16680961706096e+002	(-4.26625485767918e+001dB,-9.04328615075901e+001°)
1.16949939101987e+002	(-4.26425345309147e+001dB,-9.04338087890125e+001°)
1.17219536554813e+002	(-4.26225204201787e+001dB,-9.04347583769213e+001°)
1.17489755493952e+002	(-4.26025062442841e+001dB,-9.04357102763961e+001°)
1.17760597352080e+002	(-4.25824920029302e+001dB,-9.04366644925270e+001°)
1.18032063565172e+002	(-4.25624776958146e+001dB,-9.04376210304236e+001°)
1.18304155572516e+002	(-4.25424633227879e+001dB,-9.04385798951913e+001°)
1.18576874816716e+002	(-4.25224488830050e+001dB,-9.04395410919889e+001°)
1.18850222743701e+002	(-4.25024343768537e+001dB,-9.04405046259231e+001°)
1.19124200802737e+002	(-4.24824198037175e+001dB,-9.04414705021678e+001°)
1.19398810446427e+002	(-4.24624051632099e+001dB,-9.04424387258900e+001°)
1.19674053130724e+002	(-4.24423904550973e+001dB,-9.04434093022712e+001°)
1.19949930314937e+002	(-4.24223756789903e+001dB,-9.04443822365070e+001°)
1.20226443461741e+002	(-4.24023608346524e+001dB,-9.04453575337995e+001°)
1.20503594037179e+002	(-4.23823459219228e+001dB,-9.04463351993624e+001°)
1.20781383510677e+002	(-4.23623309403306e+001dB,-9.04473152384328e+001°)
1.21059813355048e+002	(-4.23423158894035e+001dB,-9.04482976562669e+001°)
1.21338885046497e+002	(-4.23223007690535e+001dB,-9.04492824581094e+001°)
1.21618600064636e+002	(-4.23022855788825e+001dB,-9.04502696492353e+001°)
1.21898959892486e+002	(-4.22822703185679e+001dB,-9.04512592349277e+001°)
1.22179966016487e+002	(-4.22622549877858e+001dB,-9.04522512204872e+001°)
1.22461619926504e+002	(-4.22422395862881e+001dB,-9.04532456112173e+001°)
1.22743923115840e+002	(-4.22222241135933e+001dB,-9.04542424124506e+001°)
1.23026877081238e+002	(-4.22022085693730e+001dB,-9.04552416295232e+001°)
1.23310483322890e+002	(-4.21821929534516e+001dB,-9.04562432677749e+001°)
1.23594743344450e+002	(-4.21621772654976e+001dB,-9.04572473325724e+001°)
1.23879658653036e+002	(-4.21421615049465e+001dB,-9.04582538293009e+001°)
1.24165230759240e+002	(-4.21221456716951e+001dB,-9.04592627633406e+001°)
1.24451461177138e+002	(-4.21021297654073e+001dB,-9.04602741400889e+001°)
1.24738351424294e+002	(-4.20821137855912e+001dB,-9.04612879649755e+001°)
