Freq.	V(vo)
1.00000000000000e+02	(-2.52604946460745e-04dB,-6.09586311791120e+00°)
1.00230523807790e+02	(-2.52567231586232e-04dB,-6.10992891659882e+00°)
1.00461579027840e+02	(-2.52529355934534e-04dB,-6.12402723348413e+00°)
1.00693166885180e+02	(-2.52491318940541e-04dB,-6.13815814418003e+00°)
1.00925288607668e+02	(-2.52453120045891e-04dB,-6.15232172447830e+00°)
1.01157945425990e+02	(-2.52414758690297e-04dB,-6.16651805035008e+00°)
1.01391138573668e+02	(-2.52376234314435e-04dB,-6.18074719794620e+00°)
1.01624869287070e+02	(-2.52337546348374e-04dB,-6.19500924359778e+00°)
1.01859138805412e+02	(-2.52298694250146e-04dB,-6.20930426381653e+00°)
1.02093948370768e+02	(-2.52259677449821e-04dB,-6.22363233529529e+00°)
1.02329299228075e+02	(-2.52220495383253e-04dB,-6.23799353490846e+00°)
1.02565192625141e+02	(-2.52181147496904e-04dB,-6.25238793971249e+00°)
1.02801629812647e+02	(-2.52141633232414e-04dB,-6.26681562694622e+00°)
1.03038612044162e+02	(-2.52101952027566e-04dB,-6.28127667403147e+00°)
1.03276140576140e+02	(-2.52062103324002e-04dB,-6.29577115857341e+00°)
1.03514216667934e+02	(-2.52022086567218e-04dB,-6.31029915836104e+00°)
1.03752841581801e+02	(-2.51981901190176e-04dB,-6.32486075136768e+00°)
1.03992016582906e+02	(-2.51941546643197e-04dB,-6.33945601575134e+00°)
1.04231742939330e+02	(-2.51901022365991e-04dB,-6.35408502985531e+00°)
1.04472021922080e+02	(-2.51860327805021e-04dB,-6.36874787220853e+00°)
1.04712854805090e+02	(-2.51819462399035e-04dB,-6.38344462152606e+00°)
1.04954242865232e+02	(-2.51778425596423e-04dB,-6.39817535670960e+00°)
1.05196187382322e+02	(-2.51737216838827e-04dB,-6.41294015684791e+00°)
1.05438689639126e+02	(-2.51695835575602e-04dB,-6.42773910121726e+00°)
1.05681750921366e+02	(-2.51654281251282e-04dB,-6.44257226928196e+00°)
1.05925372517729e+02	(-2.51612553310400e-04dB,-6.45743974069480e+00°)
1.06169555719872e+02	(-2.51570651209062e-04dB,-6.47234159529751e+00°)
1.06414301822431e+02	(-2.51528574391803e-04dB,-6.48727791312124e+00°)
1.06659612123026e+02	(-2.51486322306049e-04dB,-6.50224877438704e+00°)
1.06905487922266e+02	(-2.51443894404049e-04dB,-6.51725425950637e+00°)
1.07151930523760e+02	(-2.51401290138052e-04dB,-6.53229444908151e+00°)
1.07398941234124e+02	(-2.51358508965127e-04dB,-6.54736942390604e+00°)
1.07646521362983e+02	(-2.51315550339454e-04dB,-6.56247926496544e+00°)
1.07894672222983e+02	(-2.51272413706529e-04dB,-6.57762405343740e+00°)
1.08143395129794e+02	(-2.51229098533067e-04dB,-6.59280387069243e+00°)
1.08392691402120e+02	(-2.51185604272282e-04dB,-6.60801879829428e+00°)
1.08642562361706e+02	(-2.51141930392816e-04dB,-6.62326891800049e+00°)
1.08893009333343e+02	(-2.51098076339202e-04dB,-6.63855431176280e+00°)
1.09144033644875e+02	(-2.51054041589729e-04dB,-6.65387506172764e+00°)
1.09395636627209e+02	(-2.51009825596644e-04dB,-6.66923125023671e+00°)
1.09647819614318e+02	(-2.50965427834377e-04dB,-6.68462295982737e+00°)
1.09900583943252e+02	(-2.50920847768677e-04dB,-6.70005027323326e+00°)
1.10153930954141e+02	(-2.50876084862402e-04dB,-6.71551327338459e+00°)
1.10407861990207e+02	(-2.50831138591910e-04dB,-6.73101204340883e+00°)
1.10662378397766e+02	(-2.50786008431629e-04dB,-6.74654666663116e+00°)
1.10917481526240e+02	(-2.50740693850203e-04dB,-6.76211722657487e+00°)
1.11173172728159e+02	(-2.50695194328811e-04dB,-6.77772380696199e+00°)
1.11429453359173e+02	(-2.50649509348633e-04dB,-6.79336649171369e+00°)
1.11686324778056e+02	(-2.50603638384099e-04dB,-6.80904536495090e+00°)
1.11943788346715e+02	(-2.50557580925067e-04dB,-6.82476051099466e+00°)
1.12201845430196e+02	(-2.50511336449825e-04dB,-6.84051201436674e+00°)
1.12460497396692e+02	(-2.50464904460768e-04dB,-6.85629995979017e+00°)
1.12719745617551e+02	(-2.50418284429432e-04dB,-6.87212443218962e+00°)
1.12979591467279e+02	(-2.50371475863998e-04dB,-6.88798551669201e+00°)
1.13240036323555e+02	(-2.50324478251434e-04dB,-6.90388329862700e+00°)
1.13501081567231e+02	(-2.50277291096064e-04dB,-6.91981786352751e+00°)
1.13762728582343e+02	(-2.50229913898354e-04dB,-6.93578929713023e+00°)
1.14024978756116e+02	(-2.50182346156844e-04dB,-6.95179768537611e+00°)
1.14287833478977e+02	(-2.50134587390322e-04dB,-6.96784311441093e+00°)
1.14551294144553e+02	(-2.50086637097328e-04dB,-6.98392567058576e+00°)
1.14815362149688e+02	(-2.50038494796651e-04dB,-7.00004544045755e+00°)
1.15080038894443e+02	(-2.49990160006117e-04dB,-7.01620251078957e+00°)
1.15345325782109e+02	(-2.49941632240658e-04dB,-7.03239696855200e+00°)
